Text,Entity Type
Christo,PERSON
Christus,PERSON
Jouis,PERSON
0397A,PERSON
Uerbo,PERSON
Uirtute,PERSON
Zeno,PERSON
Jouis,LOC
Cleanthes,PERSON
Sermoni,PERSON
Uirtuti,PERSON
Sermo,PERSON
Caro,PERSON
Christus,PERSON
Christus,PERSON
Christum,PERSON
0400B,LOC
Pontio,PERSON
Syriam,LOC
Romana,LOC
Deliquium,PERSON
Christo,PERSON
Galilaeam,LOC
Romulo,PERSON
Proculi,PERSON
Christo,PERSON
Pilatus,PERSON
Caesari,PERSON
Tiberio,PERSON
Caesares,NORP
Christo,PERSON
Caesares,PERSON
Discipuli,PERSON
Romae,LOC
Neronis,PERSON
Christi,PERSON
Christianis,PERSON
Christianis,PERSON
Christum,PERSON
Moysen,PERSON
Graecis,NORP
Orpheus,PERSON
Pieriae,LOC
Musaeus,PERSON
Athenis,LOC
Argis,LOC
Trophonius,PERSON
Boeotiae,LOC
Pompilius,PERSON
Numa,PERSON
Romanos,NORP
Christo,PERSON
Numa,PERSON
Christi,PERSON
0404B,PERSON
ARGUMENTUM.--,PERSON
Philosophis,PERSON
0405A,LOC
Philosophi,PERSON
Socrate,PERSON
Poetae,NORP
Satanam,PERSON
Angelos,PERSON
Plato,PERSON
0405B,PERSON
Dispositiones,PERSON
Croesi,LOC
0409A,NORP
Pyrrhi,NORP
Pythius,PERSON
Lydiam,LOC
Uenefici,PERSON
Laedunt,NORP
Castorum,NORP
0410A,LOC
ARGUMENTUM.--,PERSON
Christi,PERSON
Christiani,PERSON
Christi,PERSON
0411A,PERSON
Compar,PERSON
Uirgo,PERSON
Aesculapius,PERSON
Socordio,PERSON
Thanatio,PERSON
Asclepiodoto,PERSON
0414A,PERSON
Christus,PERSON
Uirtus,PERSON
Sermo,PERSON
Christum,PERSON
Minoen,LOC
Platonis,PERSON
0415B,PERSON
Christi,PERSON
Christum,PERSON
Christum,PERSON
Christo,PERSON
Christi,PERSON
Christo,PERSON
ARGUMENTUM.--,PERSON
Romanos,NORP
Christianos,NORP
Aegyptiis,NORP
0417A,PERSON
Plato,PERSON
Caesarem,PERSON
Caesarem,PERSON
Jouem,PERSON
Aegyptiis,NORP
Syriae,LOC
Atagartis,NORP
Arabiae,LOC
Dusares,NORP
Noricis,NORP
Belenus,PERSON
Africae,LOC
Mauritaniae,PERSON
Romanas,NORP
Romae,LOC
Italiam,LOC
Deluentinus,PERSON
Narniensium,NORP
Uisidianus,PERSON
Aesculanorum,NORP
Ancharia,PERSON
Uolsiniensium,NORP
Ocriculanorum,NORP
Ualentia,PERSON
Sutrinorum,NORP
Juno,PERSON
Romanos,NORP
Romanorum,NORP
ARGUMENTUM.--,PERSON
Imperii,LOC
0421B,PERSON
Romanos,NORP
Romani,NORP
Deos,NORP
Deos,NORP
Romanis,NORP
0422B,PERSON
Romani,NORP
Romanos,NORP
0423A,PERSON
Romanis,NORP
Sterculius,PERSON
Mutunus,PERSON
Larentina,PERSON
Peregrinos,NORP
Cybele,PERSON
Trojani,NORP
0425A,PERSON
Graeciam,LOC
Phrygiae,LOC
Marco,PERSON
Aurelio,PERSON
Sirmium,LOC
Archigallus,PERSON
Marci,PERSON
Cybele,PERSON
Christiani,PERSON
Jupiter,PERSON
Cretam,LOC
Romanis,NORP
Idaeum,LOC
Corybantia,PERSON
Capitolio,PERSON
Jouis,PERSON
Juno,LOC
Punicam,NORP
Samo,LOC
Aeneadarum,NORP
Aen,LOC
Jouis,PERSON
Jupiter,PERSON
Romani,NORP
Carthaginem,LOC
Junonis,PERSON
Larentinae,PERSON
Plures,NORP
Saturnus,PERSON
Jupiter,PERSON
Sterculium,PERSON
Romae,LOC
Romani,NORP
Numa,PERSON
0430A,NORP
Romanos,NORP
Samia,LOC
Graecorum,NORP
Tuscorum,NORP
Romani,NORP
0431A,LOC
Romani,NORP
ARGUMENTUM.--,PERSON
Romam,LOC
Babyloniis,NORP
Aegyptiis,NORP
Assyriis,LOC
Romani,NORP
Roma,LOC
Capitolii,LOC
Babylonii,LOC
Aegyptii,NORP
Salios,NORP
Assyrii,LOC
Lupercos,NORP
Amazones,NORP
Uestales,PERSON
Romanae,NORP
Judaea,LOC
Romani,NORP
0432B,PERSON
Christum,PERSON
ARGUMENTUM.--,PERSON
Diuinitatis,PERSON
Christianos,NORP
Christi,PERSON
0433A,NORP
Dati,PERSON
0435A,PERSON
ARGUMENTUM.--,PERSON
Diuinitatis,PERSON
Diis,NORP
Deos,NORP
Caesaribus,NORP
0436A,NORP
Jouem,PERSON
Janus,PERSON
Caesarem,PERSON
Olympo,PERSON
Citius,PERSON
Caesaris,PERSON
ARGUMENTUM.--,PERSON
Caesarem,PERSON
Christianos,NORP
Caesari,PERSON
Caesaris,PERSON
Diis,NORP
Caesarum,NORP
Caesarum,NORP
Caesaris,PERSON
Caesarem,PERSON
Caesaris,PERSON
Caesaris,PERSON
Caesare,PERSON
0440A,PERSON
ARGUMENTUM.--,PERSON
Solos,NORP
Christianos,NORP
Imperatore,PERSON
Imperatori,PERSON
0442A,PERSON
Christiani,PERSON
Caesaris,PERSON
0444A,PERSON
Arabicae,LOC
0445A,LOC
Christiani,PERSON
Imperatore,PERSON
ARGUMENTUM.--,PERSON
Sacras,NORP
Christianis,PERSON
Christiani,PERSON
Caesarum,NORP
ARGUMENTUM.--,PERSON
Christianis,PERSON
Romanum,NORP
Caesaris,PERSON
Geniis,NORP
Genium,PERSON
Genios,NORP
Romani,NORP
0447B,NORP
Romanae,NORP
Caesarum,NORP
0448A,PERSON
ARGUMENTUM.--,PERSON
Caesar,PERSON
Caesaris,PERSON
0449A,PERSON
Grande,PERSON
ARGUMENTUM.--,PERSON
Augustum,PERSON
Diuinae,PERSON
Dominationis,PERSON
Christianis,PERSON
Caesarem,PERSON
Romanos,NORP
Caesarem,PERSON
ARGUMENTUM.--,PERSON
Christianos,NORP
Imperatores,NORP
Romani,NORP
Caesarem,PERSON
Senatores,NORP
Equites,NORP
Primores,NORP
Castrorum,NORP
Caesaris,PERSON
Cassiis,NORP
Nigris,NORP
Albinis,NORP
Astrologos,NORP
Caesarum,NORP
Christiani,PERSON
Grande,PERSON
0453A,PERSON
Siccine,PERSON
Haeccine,LOC
Caesaris,PERSON
Caesarem,PERSON
Caesarum,NORP
Uelim,PERSON
Christiani,PERSON
Christianis,NORP
Romanos,NORP
Romanorum,NORP
Quirites,NORP
Caesari,PERSON
Romana,LOC
Tiberis,LOC
Caesaris,PERSON
Jupiter,PERSON
Christianus,PERSON
Caesare,PERSON
Romani,NORP
Cassii,PERSON
Nigri,PERSON
Albini,PERSON
Caesarem,PERSON
Sigeriis,NORP
Partheniis,NORP
Romanis,NORP
0458A,NORP
0459A,NORP
Caesarum,NORP
Angelis,PERSON
Christiani,PERSON
Caesaris,PERSON
Romanum,NORP
Imperatori,PERSON
Romani,NORP
Romani,NORP
Romani,NORP
Romani,NORP
Christianis,PERSON
Rempublicam,LOC
Christianos,NORP
Bacchanalium,PERSON
Plures,NORP
Mauri,PERSON
Marcomanni,LOC
Parthi,NORP
Hesterni,PERSON
0463A,NORP
Procul,LOC
Plures,NORP
0465A,NORP
Scripturae,PERSON
0467B,NORP
0468A,LOC
Christianos,NORP
0468B,NORP
0469A,LOC
Fratres,NORP
Graeci,NORP
Socratis,NORP
Romani,NORP
Catonis,PERSON
Atticae,LOC
Leno,PERSON
Diogenis,PERSON
Megarenses,NORP
Apaturiis,NORP
Dionysiis,NORP
Atticis,NORP
Serapiacae,PERSON
Coena,LOC
Graecos,NORP
0475A,NORP
0478A,PERSON
0478B,PERSON
0479A,PERSON
Tiberis,LOC
Nilus,LOC
Tiberium,PERSON
Christi,PERSON
Hieran,PERSON
Anaphen,PERSON
Delon,PERSON
Rhodon,LOC
Plato,PERSON
Asiae,LOC
Africae,LOC
Atlantico,LOC
Corinthium,LOC
Lucaniam,LOC
Italiae,LOC
Siciliae,LOC
Plato,PERSON
0482A,PERSON
Aegypto,LOC
Palaestina,LOC
Sodoma,LOC
Gomorra,LOC
0483A,PERSON
Tuscia,LOC
Campania,LOC
Uolsinios,NORP
Tarpeios,NORP
Romae,LOC
Annibal,PERSON
Cannas,LOC
Romanos,NORP
Capitolium,PERSON
Senones,NORP
Christiani,PERSON
Capitolium,LOC
Jupiter,PERSON
ARGUMENTUM.--,PERSON
0488A,PERSON
Diis,NORP
Deos,NORP
Christianos,NORP
0488B,PERSON
0489A,PERSON
ARGUMENTUM.--,PERSON
Brachmanae,LOC
Indorum,NORP
Creatori,PERSON
Saturnalibus,NORP
0493A,LOC
Thura,LOC
Arabiae,LOC
Sabaei,LOC
Jupiter,PERSON
0495B,NORP
0496A,PERSON
Uestros,NORP
0497A,NORP
**CAP,PERSON
Epicurus,PERSON
Christianos,NORP
Philosophiae,PERSON
0500B,PERSON
Aesculapio,PERSON
Socratem,PERSON
Apollo,PERSON
Apollinem,PERSON
Sapientiae,PERSON
Christiani,PERSON
Thales,NORP
Croeso,PERSON
Plato,PERSON
Atticae,LOC
Socratem,PERSON
Christianus,PERSON
Diogenis,PERSON
Speusippum,PERSON
Platonis,PERSON
Christianus,PERSON
Democritus,PERSON
0511A,NORP
Diogenes,PERSON
Platonis,PERSON
Christianus,PERSON
Pythagoras,PERSON
Thurios,NORP
Zeno,PERSON
Prienenses,NORP
Christianus,PERSON
Lycurgus,PERSON
Lacones,NORP
Christianus,PERSON
Anaxagoras,PERSON
Christianus,PERSON
Aristoteles,PERSON
Hermiam,LOC
Christianus,PERSON
Aristoteles,PERSON
Alexandro,PERSON
Plato,PERSON
Dionysio,PERSON
Aristippus,PERSON
Hippias,PERSON
Graeciae,LOC
Coeli,PERSON
ARGUMENTUM,PERSON
Christiani,PERSON
0516A,NORP
Thebanis,NORP
Spartiatis,NORP
Argiuis,LOC
0516B,PERSON
Alii,NORP
Epicurus,PERSON
Pythagoras,PERSON
Heraclito,PERSON
Platonici,PERSON
Epicurei,PERSON
Stoici,NORP
Christo,PERSON
Philosophis,PERSON
0520A,LOC
Pyriphlegethon,PERSON
Elysii,LOC
0520B,NORP
ARGUMENTUM.--,PERSON
Philosophis,PERSON
Christianos,NORP
Laberii,PERSON
Pythagorae,PERSON
Laberius,PERSON
Pythagorae,PERSON
Caio,PERSON
Recogita,PERSON
0525A,LOC
Pythiae,LOC
Philosophi,PERSON
0528A,NORP
Montes,NORP
ARGUMENTUM.--,PERSON
0528B,LOC
0529A,NORP
0530A,NORP
0530B,NORP
Proelium,NORP
Mucius,PERSON
Empedocles,PERSON
Aetnaeis,LOC
Carthaginis,LOC
Regulus,PERSON
Anaxarchus,PERSON
Anaxarchi,PERSON
Anaxarchum,PERSON
Attica,LOC
Zeno,PERSON
Eleates,NORP
Dionysio,PERSON
Christianos,NORP
Cruciate,PERSON
Cicero,PERSON
Tusculanis,LOC
Seneca,PERSON
Diogenes,PERSON
Pyrrhon,PERSON
Callinicus,PERSON
0536A,NORP
