Text,Entity Type
quasi,
detrimento,
moerent,
.,
Nec,
tamen,
hoc,
ipso,
modo,
ad,
aestimationem,
alicuius,
latentis,
boni,
promouent,
animos,
;,
non,
licet,
rectius,
suspicari,
",",
non,
libet,
propius,
experiri,
.,
Hic,
tantum,
humana,
curiositas,
torpescit,
",",
amant,
ignorare,
",",
cum,
alii,
gaudeant,
cognouisse,
.,
Quanto,
magis,
hos,
Anacharsis,PERSON
denotasset,
imprudentes,
de,
prudentibus,
iudicantes,
",",
quam,
immusicos,
de,
musicis,
!,
Malunt,
nescire,
",",
quia,
iam,
oderunt,
;,
adeo,
quod,
nesciunt,
",",
praeiudicant,
id,
esse,
",",
quod,
",",
si,
sciant,
",",
odisse,
non,
poterant,
;,
quando,
si,
nullum,
odii,
debitum,
deprehendatur,
",",
optimum,
utique,
sit,
desinere,
iniuste,
odisse,
;,
si,
uero,
de,
merito,
constet,
",",
non,
modo,
nihil,
odii,
detrahatur,
",",
sed,
amplius,
acquiratur,
ad,
perseuerantiam,
",",
etiam,
iustitiae,
ipsius,
auctoritate,
.,
Sed,
non,
ideo,
",",
inquit,
",",
bonum,
",",
quia,
multos,
conuertit,
.,
Quanti,PERSON
enim,
ad,
malum,
praeformantur,
",",
quanti,
transfugae,
in,
peruersum,
?,
Quis,
negat,
?,
Tamen,
quod,
uere,
malum,
est,
",",
ne,
ipsi,
quidem,
",",
quos,
rapit,
",",
defendere,
pro,
bono,
audent,
.,
Omne,
malum,
aut,
timore,
aut,
pudore,
natura,
perfudit,
.,
Denique,
malefici,
gestiunt,
latere,
",",
deuitant,
apparere,
",",
trepidant,
deprehensi,
",",
negant,
accusati,
",",
ne,
torti,
quidem,
facile,
aut,
semper,
confitentur,
;,
certe,
condemnati,
moerent,
;,
dinumerant,
in,
semetipsos,
",",
mentis,
malae,
impetus,
uel,
fato,
uel,
astris,
imputant,
;,
nolunt,
enim,
suum,
esse,
",",
quod,
malum,
agnoscunt,
.,
Christianos,NORP
uero,
",",
nihil,
simile,
;,
neminem,
pudet,
",",
neminem,
poenitet,
",",
nisi,
plane,
retro,
non,
fuisse,
.,
Si,
denotatur,
",",
gloriatur,
;,
accusatur,
;,
non,
defendit,
;,
interrogatus,
uel,
ultro,
confitetur,
;,
damnatus,
gratias,
agit,
.,
Quid,
hoc,
mali,
est,
quod,
naturalia,
mali,
non,
habet,
",",
timorem,
",",
pudorem,
",",
tergiuersationem,
",",
poenitentiam,
",",
deplorationem,
?,
Quid,
hoc,
mali,
est,
",",
cuius,
reus,
gaudet,
?,
cuius,
accusatio,
uotum,
est,
",",
et,
poena,
felicitas,
?,
Non,
potes,
dementiam,
dicere,
",",
qui,
reuinceris,
ignorare,
.,
**CAPUT,
II,
.,
**,
Iam,
uero,
",",
si,
ut,
maleficos,
tractare,
uelint,
Christianos,NORP
",",
oportuit,
saltem,
eodem,
modo,
in,
Iure,
cum,
utrisque,
agi,
",",
nec,
facultas,
quocun,
que,
modo,
se,
defendendi,
",",
illis,
abnegari,
",",
cum,
crimen,
ex,
circumstantiis,
uel,
dilui,
",",
uel,
probari,
soleat,
.,
Imo,
ostendit,
uel,
inde,
Sectae,LOC
huius,
innocentiam,
",",
quod,
olim,
Traianus,PERSON
inquiri,
eos,
prohibuerit,
",",
licet,
oblatos,
damnari,
uoluerit,
",",
cuius,
ridet,
censuram,
sibi,
ipsi,
contrariam,
",",
pergit,
que,
",",
cum,
in,
illa,
explodenda,
",",
tum,
in,
reprehendendis,
peruersis,
iudicum,
",",
in,
emendandis,
Christianis,NORP
",",
actibus,
",",
simul,
in,
causam,
huius,
mali,
inquirens,
",",
quod,
illos,
cum,
nudo,
Nomine,
Christianorum,NORP
facit,
praeliari,
.,
Si,
certum,
est,
denique,
nos,
nocentissimos,
esse,
",",
cur,
a,
uobis,
ipsis,
aliter,
tractamur,
",",
quam,
pares,
nostri,
",",
id,
est,
caeteri,
nocentes,
?,
cum,
eiusdem,
noxae,
eadem,
tractatio,
deberet,
interuenire,
.,
Quodcumque,
dicimur,
",",
cum,
alii,
dicuntur,
",",
et,
proprio,
ore,
et,
mercenaria,
aduocatione,
utuntur,
ad,
innocentiae,
suae,
commendationem,
.,
Respondendi,PERSON
",",
altercandi,
facultas,
patet,
",",
quando,
nec,
liceat,
indefensos,
et,
inauditos,
omnino,
damnari,
.,
Sed,
Christianis,NORP
solis,
nihil,
permittitur,
loqui,
",",
quod,
caussam,
purget,
",",
quod,
ueritatem,
defendat,
",",
quod,
iudicem,
non,
faciat,
iniustum,
.,
Sed,
illud,
solum,
exspectatur,
quod,
odio,
publico,
necessarium,
est,
",",
confessio,
nominis,
",",
non,
examinatio,
criminis,
:,
quando,
si,
de,
aliquo,
nocente,
cognoscitis,
",",
non,
statim,
confesso,
eo,
nomen,
homicidae,
",",
uel,
sacrilegi,
",",
uel,
incesti,
",",
uel,
publici,
hostis,
(,
ut,
de,
nostris,
elogiis,
loquar,
),
contenti,
sitis,
ad,
pronuntiandum,
",",
nisi,
et,
consequentia,
exigatis,
",",
qualitatem,
facti,
",",
numerum,
",",
locum,
",",
modum,
",",
tempus,
",",
conscios,
",",
socios,
.,
De,
nobis,
nihil,
tale,
",",
cum,
aeque,
extorqueri,
oporteret,
",",
quodcun,
que,
falso,
iactatur,
",",
quot,
quisque,
iam,
infanticidia,
degustasset,
",",
quot,
incesta,
contenebrasset,
",",
qui,
coci,
",",
qui,
canes,
affuissent,
.,
O,
quanta,
illius,
praesidis,
gloria,
",",
si,
eruisset,
aliquem,
",",
qui,
centum,
iam,
infantes,
comedisset,
!,
Atquin,PERSON
inuenimus,
inquisitionem,
quoque,
in,
nos,
prohibitam,
.,
Plinius,
enim,
Secundus,PERSON
cum,
prouinciam,
regeret,
",",
damnatis,
quibusdam,
Christianis,NORP
",",
quibusdam,
gradu,
pulsis,
",",
ipsa,
tamen,
multitudine,
perturbatus,
",",
quid,
de,
caetero,
ageret,
",",
consuluit,
tunc,
Traianum,PERSON
imperatorem,
",",
allegans,
praeter,
obstinationem,
non,
sacrificandi,
",",
nihil,
aliud,
se,
de,
sacramentis,
eorum,
comperisse,
",",
quam,
coetus,
antelucanos,
ad,
canendum,
Christo,PERSON
ut,
Deo,
et,
ad,
confoederandam,
disciplinam,
",",
homicidium,
",",
adulterium,
",",
fraudem,
",",
perfidiam,
",",
et,
caetera,
scelera,
prohibentes,
.,
Tunc,
Traianus,PERSON
rescripsit,
",",
hoc,
genus,
inquirendos,
quidem,
non,
esse,
",",
oblatos,
uero,
puniri,
oportere,
.,
O,
sententiam,
necessitate,
confusam,
!,
Negat,
inquirendos,
ut,
innocentes,
",",
et,
mandat,
puniendos,
ut,
nocentes,
.,
Parcit,
et,
saeuit,
",",
dissimulat,
et,
animaduertit,
.,
Quid,
temetipsum,
censura,
circumuenis,
?,
si,
damnas,
",",
cur,
non,
et,
inquiris,
?,
si,
non,
inquiris,
",",
cur,
non,
et,
absoluis,
?,
Latronibus,
uestigandis,
per,
uniuersas,
prouincias,
militaris,
statio,
sortitur,
;,
in,
reos,
maiestatis,
et,
publicos,
hostes,
omnis,
homo,
miles,
est,
",",
ad,
socios,
",",
ad,
conscios,
usque,
inquisitio,
extenditur,
.,
Solum,
Christianum,NORP
inquiri,
non,
licet,
",",
offerri,
licet,
",",
quasi,
aliud,
esset,
actura,
inquisitio,
",",
quam,
oblationem,
.,
Damnatis,PERSON
ergo,
oblatum,
;,
quem,
nemo,
uoluit,
requisitum,
",",
qui,
",",
puto,
",",
iam,
non,
ideo,
meruit,
poenam,
",",
quia,
nocens,
est,
",",
sed,
quia,
",",
uon,
requirendus,
",",
inuentus,
est,
.,
Itaque,
nec,
in,
illo,
ex,
forma,
malorum,
iudicandorum,
agitis,
erga,
nos,
",",
quod,
caeteris,
negantibus,
adhibetis,
tormenta,
ad,
confitendum,
",",
solis,
Christianis,NORP
ad,
negandum,
;,
cum,
",",
si,
malum,
esset,
",",
nos,
quidem,
negaremus,
",",
uos,
uero,
confiteri,
tormentis,
compelleretis,
.,
Neque,
enim,
ideo,
putaretis,
non,
requirenda,
quaestionibus,
scelera,
",",
quia,
certi,
essetis,
admitti,
ea,
ex,
nominis,
confessione,
",",
qui,
hodie,
de,
confesso,
homicida,
",",
scientes,
homicidium,
quid,
sit,
",",
nihilominus,
ordinem,
extorquetis,
admissi,
:,
quo,
peruersius,
",",
cum,
praesumatis,
de,
sceleribus,
nostris,
ex,
nominis,
confessione,
cogitis,
tormentis,
de,
confessione,
decedere,
",",
ut,
negantes,
nomen,
pariter,
utique,
negemus,
et,
scelera,
",",
de,
quibus,
ex,
confessione,
nominis,
praesumpseratis,
.,
Sed,
",",
opinor,
",",
non,
uultis,
nos,
perire,
",",
quos,
pessimos,
creditis,
.,
Sic,
enim,
soletis,
dicere,
homicidae,
;,
Nega,PERSON
:,
laniari,
iubere,
sacrilegum,
",",
si,
confiteri,
perseuerauerit,
.,
Si,
non,
ita,
agitis,
circa,
nocentes,
",",
ergo,
nos,
innocentissimos,
iudicatis,
",",
cum,
quasi,
innocentissimos,
non,
uultis,
in,
ea,
confessione,
perseuerare,
",",
quam,
necessitate,
",",
non,
iustitia,
damnandam,
a,
uobis,
sciatis,
.,
Uociferatur,PERSON
homo,
:,
Christianus,PERSON
sum,
.,
Quod,
est,
dicit,
;,
tu,
uis,
audire,
quod,
non,
est,
.,
Ueritatis,LOC
extorquendae,
praesides,
",",
de,
nobis,
solis,
mendacium,
elaboratis,
audire,
.,
Hoc,
sum,
",",
inquit,
",",
quod,
quaeris,
",",
an,
sim,
;,
quid,
me,
torques,
in,
peruersum,
?,
confiteor,
",",
et,
torques,
;,
quid,
faceres,
",",
si,
negarem,
?,
Plane,
aliis,
negantibus,
non,
facile,
fidem,
accommodatis,
;,
nobis,
",",
si,
negauerimus,
",",
statim,
creditis,
.,
Suspecta,
sit,
uobis,
ista,
peruersitas,
",",
ne,
qua,
uis,
lateat,
in,
occulto,
",",
quae,
uos,
aduersus,
formam,
",",
aduersus,
naturam,
iudicandi,
",",
contra,
ipsas,
quoque,
leges,
ministret,
.,
Nisi,
enim,
fallor,
",",
leges,
malos,
crui,
iubent,
",",
non,
abscondi,
;,
confessos,
damnari,
praescribunt,
",",
non,
absolui,
.,
Hoc,
senatus,
consulta,
",",
hoc,
principum,
mandata,
definiunt,
",",
hoc,
imperium,
",",
cuius,
ministri,
estis,
.,
Ciuilis,PERSON
",",
non,
tyrannica,
dominatio,
[,
uestra,
],
est,
.,
Apud,
tyrannos,
enim,
tormenta,
etiam,
pro,
poena,
adhibentur,
;,
apud,
uos,
soli,
quaestioni,
temperantur,
.,
Uestram,PERSON
illis,
seruate,
legem,
usque,
ad,
confessionem,
;,
et,
si,
confessione,
praeueniantur,
",",
uacabunt,
.,
Sententia,
opus,
est,
;,
debito,
nocens,
expungendus,
est,
",",
non,
eximendus,
.,
Denique,
illum,
nemo,
gestit,
absoluere,
",",
non,
licet,
hoc,
uelle,
;,
ideo,
nec,
cogitur,
quisquam,
negare,
.,
Christianum,NORP
",",
hominem,
omnium,
scelerum,
reum,
deorum,
",",
imperatorum,
",",
legum,
",",
morum,
",",
naturae,
totius,
inimicum,
existimas,
",",
et,
cogis,
negare,
",",
ut,
absoluas,
",",
quem,
non,
poteris,
absoluere,
",",
nisi,
negauerit,
.,
Praeuaricaris,PERSON
in,
leges,
.,
Uis,PERSON
ergo,
neget,
se,
nocentem,
",",
ut,
eum,
facias,
innocentem,
",",
et,
quidem,
inuitum,
iam,
",",
nec,
de,
praeterito,
reum,
.,
Unde,
ista,
peruersitas,
?,
ut,
etiam,
illud,
non,
recogitetis,
",",
sponte,
confesso,
magis,
credendum,
esse,
",",
quam,
per,
uim,
neganti,
;,
uel,
ne,
compulsus,
negare,
",",
non,
ex,
fide,
negarit,
;,
et,
absolutus,
ibidem,
post,
tribunal,
de,
uestra,
rideat,
aemulatione,
",",
iterum,
Christianus,PERSON
.,
Cum,
igitur,
in,
omnibus,
nos,
aliter,
disponatis,
",",
quam,
caeteros,
nocentes,
",",
id,
unum,
contendendo,
",",
ut,
de,
eo,
nomine,
excludamur,
(,
excludimur,
enim,
",",
si,
facimus,
",",
quae,
faciunt,
non,
Christiani,NORP
),
",",
intelligere,
potestis,
non,
scelus,
aliquod,
in,
caussa,
esse,
",",
sed,
nomen,
",",
quod,
quaedam,
ratio,
aemulae,
operationis,
insequitur,
",",
hoc,
primum,
agens,
",",
ut,
homines,
nolint,
scire,
pro,
certo,
",",
quod,
se,
nescire,
pro,
certo,
sciunt,
.,
Ideo,
et,
credunt,
de,
nobis,
quae,
non,
probantur,
",",
et,
nolunt,
inquiri,
",",
ne,
probentur,
non,
esse,
",",
quae,
malunt,
credi,
esse,
",",
ut,
nomen,
illius,
aemulae,
rationis,
inimicum,
",",
praesumptis,
",",
non,
probatis,
criminibus,
",",
de,
sua,
sola,
confessione,
damnetur,
.,
Ideo,
torquemur,
confitentes,
",",
et,
punimur,
perseuerantes,
",",
et,
absoluimur,
negantes,
",",
quia,
nominis,
praelium,
est,
.,
Denique,
quid,
de,
tabella,
recitatis,
illum,
Christianum,NORP
",",
cur,
non,
et,
homicidam,
?,
Si,
homicida,
Christianus,PERSON
",",
cur,
non,
incestus,
?,
uel,
quodcun,
que,
aliud,
nos,
esse,
creditis,
?,
In,
nobis,
solis,
pudet,
aut,
piget,
ipsis,
nominibus,
scelerum,
pronuntiare,
?,
Christianus,PERSON
si,
nullius,
criminis,
reus,
est,
",",
nomen,
ualde,
infestum,
",",
si,
solius,
nominis,
crimen,
est,
.,
**CAP,
.,
III,
.,
**,
Odii,
eorum,
caecitatem,
ostendit,
",",
qui,
quos,
uituperant,
eo,
ipso,
elogio,
laudare,
coguntur,
",",
sed,
qui,
tam,
sunt,
efferati,
",",
ut,
malint,
uxorem,
familiam,
que,
probris,
onustam,
pati,
",",
quam,
Christianam,NORP
",",
id,
est,
emendatam,
.,
Cum,
itaque,
nudum,
illud,
Nomen,
tantas,
concitet,
rixas,
",",
inquirit,
in,
illud,
",",
quod,
nusquam,
spernendum,
",",
uel,
perperam,
ab,
illis,
pronuntiatum,
",",
amabile,
quid,
continet,
",",
et,
id,
commune,
habet,
cum,
reliquis,
Sectis,
",",
quod,
Nomen,
ab,
Auctore,PERSON
mutuetur,
",",
cum,
tamen,
nunquam,
Secta,PERSON
quaedam,
ob,
Nomen,
solum,
persequatur,
.,
At,
Christiani,NORP
",",
et,
quoad,
Sectam,PERSON
",",
et,
quoad,
Nomen,
probi,
",",
iusti,
",",
ob,
Nominis,
tantum,
odium,
",",
inauditi,
",",
incogniti,
condemnantur,
.,
Quid,
?,
quod,
ita,
plerique,
clausis,
oculis,
in,
odium,
eius,
impingunt,
",",
ut,
bonum,
alicui,
testimonium,
ferentes,
admisceant,
nominis,
exprobrationem,
:,
Bonus,PERSON
uir,
Caius,PERSON
Seius,PERSON
",",
tantum,
quod,
Christianus,PERSON
.,
Item,
alius,
:,
Ego,
miror,
Lucium,PERSON
sapientem,
uirum,
repente,
factum,
Christianum,NORP
.,
Nemo,PERSON
retractat,
:,
Nonne,
ideo,
bonus,
Caius,PERSON
",",
et,
prudens,
Lucius,PERSON
",",
quia,
Christianus,PERSON
?,
aut,
ideo,
Christianus,PERSON
",",
quia,
prudens,
et,
bonus,
?,
Laudant,
quae,
sciunt,
",",
uituperant,
quae,
ignorant,
",",
et,
id,
quod,
sciunt,
",",
eo,
quod,
ignorant,
",",
corrumpunt,
;,
cum,
sit,
iustius,
occulta,
de,
manifestis,
praeiudicare,
",",
quam,
manifesta,
de,
occultis,
praedamnare,
.,
Alii,
",",
quos,
retro,
ante,
hoc,
nomen,
uagos,
",",
uiles,
",",
improbos,
nouerant,
",",
ex,
ipso,
denotant,
",",
quo,
laudant,
;,
caecitate,
odii,
in,
suffragium,
impingunt,
.,
Quae,
mulier,
!,
quam,
lasciua,
",",
quam,
festiua,
!,
Qui,
iuuenis,
!,
quam,
lasciuus,
",",
quam,
amasius,
!,
Facti,
sunt,
Christiani,NORP
.,
Ita,
nomen,
emendationi,
imputatur,
.,
Nonnulli,
etiam,
de,
utilitatibus,
suis,
cum,
odio,
isto,
paciscuntur,
",",
contenti,
iniuria,
",",
dum,
ne,
domi,
habeant,
",",
quod,
oderunt,
.,
Uxorem,PERSON
iam,
pudicam,
maritus,
iam,
non,
zelotypus,
eiecit,
",",
filium,
iam,
subiectum,
pater,
retro,
patiens,
abdicauit,
",",
seruum,
iam,
fidelem,
dominus,
olim,
mitis,
ab,
oculis,
relegauit,
:,
ut,
quisque,
hoc,
nomine,
emendatur,
offendit,
.,
Tanti,PERSON
non,
est,
bonum,
",",
quanti,
est,
odium,
Christianorum,NORP
.,
Nunc,
igitur,
",",
si,
nominis,
odium,
est,
",",
quis,
nominum,
reatus,
?,
Quae,
accusatio,
uocabulorum,
",",
nisi,
si,
aut,
barbarum,
sonat,
aliqua,
uox,
nominis,
",",
aut,
infaustum,
",",
aut,
maledicum,
",",
aut,
impudicum,
?,
Christianus,PERSON
uero,
",",
quantum,
interpretatio,
est,
",",
de,
unctione,
deducitur,
.,
Sed,
et,
cum,
perperam,
Chrestianus,PERSON
pronuntiatur,
a,
uobis,
(,
nam,
nec,
nominis,
certa,
est,
notitia,
penes,
uos,
),
",",
de,
suauitate,
uel,
benignitate,
compositum,
est,
.,
Oditur,
ergo,
in,
hominibus,
innocuis,
etiam,
nomen,
innocuum,
.,
At,
enim,
secta,
oditur,
in,
nomine,
utique,
sui,
auctoris,
.,
Quid,
noui,
",",
si,
aliqua,
disciplina,
de,
magistro,
cognomentum,
sectatoribus,
suis,
inducit,
?,
Nonne,
philosophi,
de,
auctoribus,
suis,
nuncupantur,
Platonici,NORP
",",
Epicurei,NORP
",",
Pythagorici,PERSON
?,
etiam,
a,
locis,
conuenticulorum,
et,
stationum,
suarum,
Stoici,NORP
",",
Academici,PERSON
?,
atque,
medici,
ab,
Erasistrato,PERSON
",",
et,
grammatici,
ab,
Aristarcho,PERSON
",",
coci,
etiam,
ab,
Apicio,PERSON
?,
Nec,
tamen,
quemquam,
offendit,
professio,
nominis,
",",
cum,
institutione,
transmissa,
ab,
institutore,
.,
Plane,
si,
qui,
probet,
malam,
sectam,
et,
ita,
malum,
auctorem,
",",
is,
probabit,
et,
nomen,
malum,
dignum,
odio,
de,
reatu,
sectae,
et,
auctoris,
.,
Ideo,
que,
ante,
odium,
nominis,
competebat,
prius,
de,
auctore,
sectam,
recognoscere,
",",
uel,
auctorem,
de,
secta,
.,
At,
nunc,
utriusque,
inquisitione,
et,
agnitione,
neglecta,
nomen,
detinetur,
",",
nomen,
expugnatur,
",",
et,
ignotam,
sectam,
",",
ignotum,
et,
auctorem,
uox,
sola,
praedamnat,
",",
quia,
nominantur,
",",
non,
quia,
reuincuntur,
.,
**CAPUT,
IU**,
Praeparat,
iam,
se,
ad,
defensionem,
criminum,
quibus,
Christiani,NORP
onerabantur,
.,
Sed,
",",
cum,
uel,
post,
iustissimam,
defensionem,
tamen,
uiolentia,
legis,
obsequium,
exigat,
",",
artificiose,
et,
ualide,
ostendit,
",",
leges,
",",
ut,
condi,
",",
ita,
reprobari,
et,
mutari,
posse,
",",
imo,
debere,
nonnunquam,
",",
nec,
id,
sine,
exemplo,
;,
cum,
scilicet,
uel,
crudeles,
",",
uel,
iniustae,
sint,
deprehensae,
.,
Lex,
enim,
iusta,
esse,
colligitur,
",",
postquam,
in,
ualorem,
eius,
inquisitio,
facta,
est,
;,
improba,
uero,
",",
non,
iam,
lex,
",",
sed,
tyrannis,
inuenitur,
.,
Atque,
adeo,
quasi,
praefatus,
haec,
ad,
suggillandam,
odii,
erga,
nos,
publici,
iniquitatem,
",",
iam,
de,
caussa,
innocentiae,
consistam,
",",
nec,
tantum,
refutabo,
quae,
nobis,
obiiciuntur,
",",
sed,
etiam,
in,
ipsos,
retorquebo,
qui,
obiiciunt,
;,
ut,
ex,
hoc,
quoque,
sciant,
omnes,
in,
Christianis,NORP
non,
esse,
quae,
in,
se,
non,
nesciunt,
esse,
",",
simul,
uti,
erubescant,
accusantes,
",",
non,
dico,
pessimi,
optimos,
",",
sed,
iam,
",",
ut,
uolunt,
",",
compares,
suos,
.,
Respondebimus,
ad,
singula,
quae,
in,
occulto,
admittere,
dicimur,
",",
quae,
illos,
palam,
admittentes,
inuenimus,
",",
in,
quibus,
scelesti,
",",
in,
quibus,
uani,
",",
in,
quibus,
damnandi,
",",
in,
quibus,
irridendi,
deputamur,
.,
Sed,
quoniam,
",",
cum,
ad,
omnia,
occurrit,
ueritas,
nostra,
",",
postremo,
legum,
obstruitur,
auctoritas,
aduersus,
eam,
",",
ut,
aut,
nihil,
dicatur,
retractandum,
esse,
post,
leges,
",",
aut,
ingratis,
necessitas,
obsequii,
praeferatur,
ueritati,
:,
de,
legibus,
prius,
concurram,
uobiscum,
ut,
cum,
tutoribus,
legum,
.,
Iam,
primum,
quam,
dure,
definitis,
dicendo,
:,
Non,
licet,
esse,
uos,
!,
Et,
hoc,
sine,
ullo,
retractatu,
humaniore,
praescribitis,
;,
uim,
profitemini,
et,
iniquam,
ex,
arce,
dominationem,
",",
si,
ideo,
negatis,
licere,
",",
quia,
uultis,
",",
non,
quia,
debuit,
non,
licere,
.,
Quod,
si,
quia,
non,
debet,
",",
ideo,
non,
uultis,
licere,
",",
sine,
dubio,
id,
non,
debet,
licere,
",",
quod,
male,
fit,
",",
et,
utique,
hoc,
ipso,
